id,organization,service_name,service_type,jurisdiction,phone,email,url,address,hours,eligibility_notes,languages,source_id,call_before_going,last_checked
sf_coordinated_entry,San Francisco HSH / Access Points,Coordinated Entry / Access Points,shelter,San Francisco,415-487-3300 x7000,,https://www.sfserviceguide.org/services/2664,,,,[],sfserviceguide_access_point,True,2026-06-28
sf_adult_shelter_access_line,San Francisco Adult Shelter Reservation System,SFHOT / Adult Shelter Access Line,shelter,San Francisco,628-652-8000,,https://www.sfserviceguide.org/services/3792,,,,[],sfserviceguide_adult_shelter_reservation,True,2026-06-28
sf_hsh,San Francisco Department of Homelessness and Supportive Housing,Homelessness services overview,housing_handoff,San Francisco,628-652-7700,,https://www.sf.gov/departments--homelessness-and-supportive-housing,,,,[],sf_hsh_department,False,2026-06-28
sf_211_housing,211 Bay Area,Housing and Homeless Services,211,San Francisco / Bay Area,211,,https://211bayarea.org/topics/housing-homeless-services/,,,,[],sf_211_bayarea_housing,False,2026-06-28
sf_edc,Eviction Defense Collaborative,Eviction legal assistance / rental assistance,legal_aid,San Francisco,415-659-9184,legal@evictiondefense.org,https://evictiondefense.org/,,,,[],sf_eviction_defense_collaborative,True,2026-06-28
hud_housing_counseling,HUD,Housing Counseling Agency locator,housing_counseling,United States,800-569-4287,,https://data.hud.gov/housing_counseling.html,,,,[],hud_housing_counselor_api,False,2026-06-28
988,988 Suicide & Crisis Lifeline,Crisis support,crisis,United States,988,,https://988lifeline.org/,,,,[],988_lifeline,False,2026-06-28
samhsa,SAMHSA,National Helpline,crisis,United States,1-800-662-HELP (4357),,https://www.samhsa.gov/find-help/helplines/national-helpline,,,,"[""English"", ""Spanish""]",samhsa_national_helpline,False,2026-06-28
dv_hotline,National Domestic Violence Hotline,Confidential domestic violence support,crisis,United States,1-800-799-SAFE (7233),,https://www.thehotline.org/,,,,[],national_domestic_violence_hotline,False,2026-06-28
ca_youth_crisis,California Youth Crisis Line,Youth crisis line,crisis,California,800-843-5200,,https://calyouth.org/cycl/,,,,[],california_youth_crisis_line,False,2026-06-28
